X,Y,NAME,ADDRESS,CITY,NEIGHBORHOOD,LABEL
47.6769733,-122.2940371,Assumption Church,6201 33rd Ave NE,Seattle,Ravenna,Assumption Church
47.66671497,-122.3190718,Blessed Sacrament,5050 8th Ave NE,Seattle,U-District,Blessed Sacrament
47.61689491,-122.3404062,Christ Our Hope,1902 2nd Ave NE,Seattle,Pike Place,Christ Our Hope
47.71709999,-122.3544037,Christ the King,405 N 117th St,Seattle,Broadview,Christ the King
47.54087266,-122.3764346,Holy Family,9622 20th Ave SW,Seattle,White Center,Holy Family
47.56844542,-122.3850176,Holy Rosary,4139 42nd Ave SW,Seattle,Alki,Holy Rosary
47.61197619,-122.3086283,Immaculate Conception,820 18th Ave NE,Seattle,Central District,Immaculate Conception
47.64934269,-122.4004877,Our Lady of Fatima,3307 W Dravus St,Seattle,Interbay,Our Lady of Fatima
47.51398104,-122.319443,Our Lady of Lourdes,10243 12th Ave S,Seattle,South Park,Our Lady of ourdes
47.69708057,-122.2906039,Our Lady of the Lake,8900 35th Ave NE,Seattle,Maple Leaf,Our Lady of the Lake
47.6208869,-122.3536241,Sacred Heart of Jesus,205 2nd Ave NE,Seattle,South Lake Union,Sacred Heart of Jesus
47.63268752,-122.3586023,St. Anne,1411 1st Ave W,Seattle,Queen Anne,St. Anne
47.66922878,-122.3386691,St. Benedict,1805 N 49th St,Seattle,Wallingford,St. Benedict
47.49020758,-122.3486254,St. Bernadette,1028 SW 128th St,Seattle,Salmon Creek,St. Bernadette
47.66714797,-122.2756694,St. Bridget,4900 NE 50th St,Seattle,Laurelhurst,St. Bridget
47.55245962,-122.2789309,St. Edward,4212 S Mead St,Seattle,Columbia City,St. Edward
47.55674615,-122.3151515,St. George,5306 13th Ave S,Seattle,South Seattle,St. George
47.60787418,-122.3257453,St. James,804 9th Ave NE,Seattle,Downtown,St. James
47.57956742,-122.3158079,St. John Chrysostom,1305 S Lander St,Seattle,Beacon Hill,St. John Chrysostom
47.62863796,-122.3094866,St. Joseph,732 18th Ave E,Seattle,Capitol Hill,St. Joseph
47.65026782,-122.3760259,St. Margaret,3221 14th Ave W,Seattle,Queen Anne,St. Margaret
47.5130535,-122.2636531,St. Paul,10001 57th Ave S,Seattle,Rainier Valley,St. Paul
47.5817632,-122.3142932,St. Peter,2807 15th Ave S,Seattle,Beacon Hill,St. Peter
47.6134806,-122.2878573,St. Therese of Liseux,926 35th Ave S,Seattle,Madison Valley,St. Therese of Liseux
47.66173691,-122.3062399,UW Catholic Newman Center,4502 20th Ave NE,Seattle,U-District,UW Newman Center
